"date";"T1A4"
"171";"2021-06-03 09:00:00";17606.06055
"172";"2021-06-03 09:15:00";17606.06055
"173";"2021-06-03 09:30:00";17606.06055
"174";"2021-06-03 09:45:00";17643.93945
"175";"2021-06-03 10:00:00";17696.96875
"176";"2021-06-03 10:15:00";17696.96875
"177";"2021-06-03 10:30:00";17666.66602
"178";"2021-06-03 10:45:00";17665.2105693929
"179";"2021-06-03 11:00:00";17666.66602
"180";"2021-06-03 11:15:00";17643.93945
"181";"2021-06-03 11:30:00";17636.36328
"182";"2021-06-03 11:45:00";17628.78711
"183";"2021-06-03 12:00:00";17628.78711
"184";"2021-06-03 12:15:00";17613.63672
"185";"2021-06-03 12:30:00";17606.06055
"186";"2021-06-03 12:45:00";17609.5545960921
"187";"2021-06-03 13:00:00";17606.06055
"188";"2021-06-03 13:15:00";17590.9082
"189";"2021-06-03 13:30:00";17598.48438
"190";"2021-06-03 13:45:00";17590.9082
"191";"2021-06-03 14:00:00";17583.33203
"192";"2021-06-03 14:15:00";17583.33203
"193";"2021-06-03 14:30:00";17583.33203
"194";"2021-06-03 14:45:00";17575.75781
"195";"2021-06-03 15:00:00";17574.7436602535
"196";"2021-06-03 15:15:00";17575.75781
"197";"2021-06-03 15:30:00";17568.18164
"198";"2021-06-03 15:45:00";17553.0293
"199";"2021-06-03 16:00:00";17553.0293
"200";"2021-06-03 16:15:00";17545.45508
"201";"2021-06-03 16:30:00";17545.45508
"202";"2021-06-03 16:45:00";17537.87891
"203";"2021-06-03 17:00:00";17537.6836005524
"204";"2021-06-03 17:15:00";17537.87891
"205";"2021-06-03 17:30:00";17530.30273
"206";"2021-06-03 17:45:00";17530.30273
"207";"2021-06-03 18:00:00";17530.30273
"208";"2021-06-03 18:15:00";17522.72656
"209";"2021-06-03 18:30:00";17530.30273
"210";"2021-06-03 18:45:00";17530.30273
"211";"2021-06-03 19:00:00";17522.72656
"212";"2021-06-03 19:15:00";17513.5167000649
"213";"2021-06-03 19:30:00";17515.15039
"214";"2021-06-03 19:45:00";17530.30273
"215";"2021-06-03 20:00:00";17530.30273
"216";"2021-06-03 20:15:00";17530.30273
"217";"2021-06-03 20:30:00";17530.30273
"218";"2021-06-03 20:45:00";17530.30273
"219";"2021-06-03 21:00:00";17530.30273
"220";"2021-06-03 21:15:00";17530.3365232791
"221";"2021-06-03 21:30:00";17530.30273
"222";"2021-06-03 21:45:00";17530.30273
"223";"2021-06-03 22:00:00";17530.30273
"224";"2021-06-03 22:15:00";17530.30273
"225";"2021-06-03 22:30:00";17537.87891
"226";"2021-06-03 22:45:00";17537.87891
"227";"2021-06-03 23:00:00";17545.45508
"228";"2021-06-03 23:15:00";17541.8001549671
"229";"2021-06-03 23:30:00";17537.87891
"230";"2021-06-03 23:45:00";17545.45508
"231";"2021-06-04 00:00:00";17545.45508
"232";"2021-06-04 00:15:00";17545.45508
"233";"2021-06-04 00:30:00";17545.45508
"234";"2021-06-04 00:45:00";17545.45508
"235";"2021-06-04 01:00:00";17545.45508
"236";"2021-06-04 01:15:00";17553.0293
"237";"2021-06-04 01:30:00";17554.7524275735
"238";"2021-06-04 01:45:00";17553.0293
"239";"2021-06-04 02:00:00";17553.0293
"240";"2021-06-04 02:15:00";17553.0293
"241";"2021-06-04 02:30:00";17560.60547
"242";"2021-06-04 02:45:00";17560.60547
"243";"2021-06-04 03:00:00";17568.18164
"244";"2021-06-04 03:15:00";17575.75781
"245";"2021-06-04 03:30:00";17573.1642254817
"246";"2021-06-04 03:45:00";17568.18164
"247";"2021-06-04 04:00:00";17568.18164
