"date";"T3B1";"T3B3";"T3B4";"T3B2";"T2C1";"T2C2";"T2C3";"T2C4";"T1C2";"T1C3";"T1C4";"T1C5";"T1B2";"T1B3";"T1B4";"T1B5";"T3A2";"T3A3";"T3A5";"T1A1";"T1A2";"T1A3";"T1A4";"T2B1";"T2B2";"T2B3";"T2B4";"T2A4";"T2A1";"T2A2";"T2A3";"T3C1";"T3C3";"T3C4";"T3C5"
"25";"2021-06-01 20:30:00";2143.56688694218;2001.15242671737;1583.4871679335;7516.98179244227;6711.78061929288;643.742535854763;8512.44278715608;60.6059990013395;76.4370659002446;3205.87779388072;6016.45222567799;12298.3603719759;2345.53808085724;5719.69824171637;2758.95328767482;30.3029989950459;-2.3275671424321e-252;1529.00701919743;-1.90673806137031e-272;2983.9299370138;3706.56130062008;2362.52699157232;17492.4721782088;-0.00706022188337705;7262.09611731224;66.9360023796001;125.116320896815;4899.24465801742;1219.45693792706;484.071285170523;3015.13869426713;24973.0515267331;3038.49454498804;11481.2439215722;9208.36723846432
"26";"2021-06-01 20:45:00";2145.455078;2000;1586.364014;7515.151855;6712.12207;643.939026;8515.151367;60.605999;75.758003;3204.545898;6015.151855;12295.45508;2348.485107;5719.698242;2757.575928;30.302999;0;1527.272949;0;2984.849121;3704.544922;2371.211914;17492.42383;0;11786.36426;0;0;4901.515137;1219.697021;484.847992;3015.150879;24977.27344;3037.878906;11484.84863;9204.545898
"27";"2021-06-01 21:00:00";2150;2004.546021;1595.454956;7515.151855;6719.698242;636.364014;8530.302734;60.605999;75.758003;3204.545898;6022.727051;12295.45508;2356.061035;5719.698242;2765.150879;30.302999;0;1522.727051;0;2992.424072;3704.544922;2378.788086;17500;0;3904.545898;0;0;4909.091797;1227.272949;484.847992;3015.150879;24984.84766;3045.455078;11500;9212.121094
"28";"2021-06-01 21:15:00";2150;2013.636963;1600;7515.151855;6719.698242;643.939026;8530.302734;60.605999;75.758003;3219.697021;6030.303223;12310.60645;2356.061035;5719.698242;2765.150879;30.302999;0;1522.727051;0;3000;3704.544922;2386.364014;17507.57617;0;0;0;0;4916.666992;1234.848999;500;3015.150879;24977.27344;3045.455078;11507.57617;9212.121094
"29";"2021-06-01 21:30:00";2159.091064;2013.636963;1609.090942;7530.303223;6727.272949;643.939026;8545.455078;60.605999;75.758003;3219.697021;6037.878906;12325.75781;2356.061035;5719.698242;2765.150879;30.302999;0;1522.727051;0;2992.424072;3704.544922;2386.364014;17500;0;0;0;0;4924.243164;1242.42395;507.575989;3015.150879;24977.27344;3053.030029;11507.57617;9219.697266
"30";"2021-06-01 21:45:00";2159.091064;2018.182007;1609.090942;7545.455078;6727.272949;643.939026;8545.455078;60.605999;75.758003;3234.849121;6045.455078;12325.75781;2356.061035;5719.698242;2765.150879;30.302999;0;1527.272949;0;3000;3712.121094;2386.364014;17507.57617;0;0;0;20924.24219;4931.818848;1250;515.151978;3015.150879;24977.27344;3060.605957;11522.72754;9227.272461
"31";"2021-06-01 22:00:00";2168.181885;2018.182007;1609.090942;7553.030762;6734.849121;651.515015;8553.030273;60.605999;68.181999;3234.849121;6053.030762;12325.75781;2356.061035;5719.698242;2765.150879;30.302999;0;1550;0;3007.575928;3712.121094;2393.939941;17507.57617;0;0;0;0;4931.818848;1250;515.151978;3022.727051;24977.27344;3068.181885;11530.30273;9219.697266
"32";"2021-06-01 22:15:00";2168.181885;2027.272949;1609.090942;7553.030762;6734.849121;659.091003;8568.181641;60.605999;75.758003;3242.424072;6060.606934;12325.75781;2363.635986;5719.698242;2772.727051;30.302999;0;1581.817993;0;3007.575928;3712.121094;2401.514893;17507.57617;0;0;0;0;4931.818848;1265.151978;530.302979;3015.150879;24977.27344;3075.758057;11537.87891;9227.272461
"33";"2021-06-01 22:30:00";2172.727051;2036.364014;1618.182007;7568.182129;6734.849121;659.091003;8568.181641;60.605999;68.181999;3234.849121;6060.606934;12325.75781;2363.635986;5719.698242;2765.150879;30.302999;0;1609.090942;0;3015.150879;3719.697021;2401.514893;17507.57617;0;0;0;5257.576172;4939.394043;1265.151978;530.302979;3015.150879;24962.12109;3075.758057;11537.87891;9227.272461
"34";"2021-06-01 22:45:00";2173.87124342049;2037.89661977077;1620.34837881273;7572.02625139315;6744.79848867908;656.71276445266;8571.6246173095;60.6060552594976;69.4279640476208;3236.19959727091;6063.99133100147;12334.5783061754;2362.95771409556;5719.68633669893;2760.91292212521;30.3029989999999;-9.7758982779606e-248;1687.84447049155;-8.00839511387617e-268;3017.13642031468;3729.10078849712;2399.79502219859;17505.0322234671;0.00257484768867043;0.548530101296636;0.00362684383432974;7508.6497921282;4949.30460514613;1272.20235656012;535.437056474963;3016.46208265161;24965.9014639766;3075.22358643514;11541.2738432184;9224.76221840929
