"Time";"T2"
2018-03-20 15:00:00;16307.574707
2018-03-20 15:15:00;16307.574707
2018-03-20 15:30:00;16307.574707
2018-03-20 15:45:00;16307.574707
2018-03-20 16:00:00;16307.574707
2018-03-20 16:15:00;16307.574707
2018-03-20 16:30:00;16310.6049804
2018-03-20 16:45:00;16313.6352538
2018-03-20 17:00:00;16319.695996
2018-03-20 17:15:00;16325.7567382
2018-03-20 17:30:00;16333.3327148
2018-03-20 17:45:00;16337.878418
2018-03-20 18:00:00;16343.9391602
2018-03-20 18:15:00;16345.4543946
2018-03-20 18:30:00;16349.9999024
2018-03-20 18:45:00;16354.5454102
2018-03-20 19:00:00;16359.090918
2018-03-20 19:15:00;16362.1213868
2018-03-20 19:30:00;16368.1817384
2018-03-20 19:45:00;16369.6969728
2018-03-20 20:00:00;16369.6969728
2018-03-20 20:15:00;16369.6969728
2018-03-20 20:30:00;16369.6969728
2018-03-20 20:45:00;16369.6969728
2018-03-20 21:00:00;16371.2118166
2018-03-20 21:15:00;16372.7266604
2018-03-20 21:30:00;16374.2415042
2018-03-20 21:45:00;16375.756348
2018-03-20 22:00:00;16375.756348
2018-03-20 22:15:00;16375.756348
2018-03-20 22:30:00;16375.756348
2018-03-20 22:45:00;16377.2715822
2018-03-20 23:00:00;16381.81709
2018-03-20 23:15:00;16386.3625978
2018-03-20 23:30:00;16390.9081056
2018-03-20 23:45:00;16395.4536134
