"datetime","value"
2017-01-03 23:00:00,6207.575879
2017-01-03 23:15:00,6210.6060548
2017-01-03 23:30:00,6212.121094
2017-01-03 23:45:00,6212.121094
2017-01-04 00:15:00,6213.6362306
2017-01-04 00:30:00,6215.1513672
2017-01-04 00:45:00,6216.6665038
2017-01-04 01:00:00,6218.1816404
2017-01-04 01:15:00,6219.696777
2017-01-04 01:30:00,6219.696777
2017-01-04 01:45:00,6219.696777
2017-01-04 02:00:00,6219.696777
2017-01-04 02:15:00,6219.696777
2017-01-04 02:30:00,6221.2120114
2017-01-04 02:45:00,6222.7272458
2017-01-04 03:00:00,6225.7577146
2017-01-04 03:30:00,6228.7881834
2017-01-04 03:45:00,6231.8186522
2017-01-04 04:00:00,6233.3338866
2017-01-04 04:15:00,6234.849121
2017-01-04 04:30:00,6234.849121
2017-01-04 04:45:00,6234.849121
2017-01-04 05:00:00,6236.3642578
2017-01-04 05:15:00,6237.8793946
2017-01-04 05:30:00,6239.3945314
2017-01-04 05:45:00,6240.9096682
2017-01-04 06:00:00,6242.424805
2017-01-04 06:15:00,6242.424805
2017-01-04 06:30:00,6242.424805
2017-01-04 07:00:00,6243.939844
2017-01-04 07:15:00,6243.939844
2017-01-04 07:30:00,6245.454883
2017-01-04 07:45:00,6246.969922
2017-01-04 08:00:00,6248.484961
2017-01-04 08:15:00,6246.969922
2017-01-04 08:30:00,6246.969922
2017-01-04 08:45:00,6246.969922
2017-01-04 09:00:00,6245.454883
2017-01-04 09:15:00,6243.939844
2017-01-04 09:30:00,6242.4247072
2017-01-04 09:45:00,6240.9095704
2017-01-04 10:15:00,6234.8489258
2017-01-04 10:30:00,6231.8185546
2017-01-04 10:45:00,6225.7578124
2017-01-04 11:00:00,6219.6971678
2017-01-04 11:15:00,6210.6061522
2017-01-04 11:30:00,6203.0305664
2017-01-04 11:45:00,6190.909375
2017-01-04 12:00:00,6180.3033202
2017-01-04 12:15:00,6171.2123046
2017-01-04 12:30:00,6163.6365234
2017-01-04 12:45:00,6154.5455078
2017-01-04 13:00:00,6146.9697266
2017-01-04 13:15:00,6140.9091798
2017-01-04 13:45:00,6131.8184572
2017-01-04 14:00:00,6124.2428712
2017-01-04 14:15:00,6121.2126954
2017-01-04 14:30:00,6119.6976564
2017-01-04 14:45:00,6118.1826174
2017-01-04 15:00:00,6121.2127932
2017-01-04 15:15:00,6124.242969
2017-01-04 15:30:00,6127.2731448
2017-01-04 15:45:00,6131.8185548
2017-01-04 16:00:00,6139.3941406
2017-01-04 16:15:00,6145.4546874
2017-01-04 16:30:00,6156.0608398
2017-01-04 16:45:00,6166.6668944
2017-01-04 17:15:00,6177.2729492
2017-01-04 17:30:00,6187.879004
2017-01-04 17:45:00,6200.0001954
2017-01-04 18:00:00,6209.0910156
2017-01-04 18:15:00,6219.697168
2017-01-04 18:30:00,6230.303125
2017-01-04 18:45:00,6239.3941406
2017-01-04 19:00:00,6246.9700196
2017-01-04 19:15:00,6256.06084
2017-01-04 19:30:00,6262.1212892
2017-01-04 19:45:00,6269.6970704
2017-01-04 20:00:00,6275.7576172
2017-01-04 20:30:00,6281.818164
2017-01-04 20:45:00,6284.848535
2017-01-04 21:00:00,6289.3941404
2017-01-04 21:15:00,6292.4245116
2017-01-04 21:30:00,6295.4548828
2017-01-04 21:45:00,6300.000293
2017-01-04 22:00:00,6304.5457032
2017-01-04 22:15:00,6309.0911134
2017-01-04 22:30:00,6312.1213868
2017-01-04 22:45:00,6315.1516602
2017-01-04 23:00:00,6316.6668946
2017-01-04 23:15:00,6319.6972658
2017-01-04 23:30:00,6321.2124026
2017-01-05 00:00:00,6324.2427736
2017-01-05 00:15:00,6327.2731446
2017-01-05 00:30:00,6331.8185548
2017-01-05 00:45:00,6334.8488282
2017-01-05 01:00:00,6336.3640624
2017-01-05 01:15:00,6337.8791016
2017-01-05 01:30:00,6340.9092774
2017-01-05 01:45:00,6342.424414
2017-01-05 02:00:00,6343.9395506
2017-01-05 02:15:00,6346.9697264
2017-01-05 02:30:00,6348.484863
2017-01-05 02:45:00,6348.484863
2017-01-05 03:15:00,6348.484863
2017-01-05 03:30:00,6348.484863
2017-01-05 03:45:00,6348.484863
2017-01-05 04:00:00,6350.0000974
2017-01-05 04:15:00,6353.0303708
2017-01-05 04:30:00,6354.5456052
2017-01-05 04:45:00,6357.5758786
2017-01-05 05:00:00,6362.1212888
2017-01-05 05:15:00,6363.6363278
2017-01-05 05:30:00,6365.1514646
2017-01-05 05:45:00,6368.1816404
2017-01-05 06:00:00,6369.6967772
2017-01-05 06:15:00,6369.6967772
2017-01-05 06:45:00,6371.211914
2017-01-05 07:00:00,6371.211914
2017-01-05 07:15:00,6368.1817382
2017-01-05 07:30:00,6365.1515624
2017-01-05 07:45:00,6362.1213866
2017-01-05 08:00:00,6359.0912108
2017-01-05 08:15:00,6354.5458006
2017-01-05 08:30:00,6353.0305662
2017-01-05 08:45:00,6351.5153318
2017-01-05 09:00:00,6350.0000974
2017-01-05 09:15:00,6348.484863
2017-01-05 09:30:00,6345.4546872
2017-01-05 09:45:00,6340.9092772
2017-01-05 10:15:00,6334.8487304
2017-01-05 10:30:00,6327.2729492
2017-01-05 10:45:00,6318.182129
2017-01-05 11:00:00,6310.6063478
2017-01-05 11:15:00,6303.0305664
2017-01-05 11:30:00,6296.9699218
2017-01-05 11:45:00,6287.8791014
2017-01-05 12:00:00,6278.7881834
2017-01-05 12:30:00,6269.6971678
2017-01-05 12:45:00,6260.6063476
2017-01-05 13:00:00,6248.4851562
2017-01-05 13:30:00,6240.909375
2017-01-05 13:45:00,6236.3639648
2017-01-05 14:00:00,6233.333789
2017-01-05 14:15:00,6228.7881834
2017-01-05 14:30:00,6228.7881834
2017-01-05 14:45:00,6228.7881834
2017-01-05 15:00:00,6230.3033202
2017-01-05 15:15:00,6230.3033202
2017-01-05 15:30:00,6236.3639648
2017-01-05 15:45:00,6239.394336
2017-01-05 16:00:00,6245.4549806
2017-01-05 16:15:00,6250.0003906
2017-01-05 16:30:00,6259.091211
2017-01-05 17:00:00,6266.6669922
2017-01-05 17:15:00,6277.2730468
2017-01-05 17:30:00,6286.3639648
2017-01-05 17:45:00,6293.9397462
2017-01-05 18:00:00,6300.000293
2017-01-05 18:15:00,6306.0609376
2017-01-05 18:30:00,6312.1214846
2017-01-05 18:45:00,6316.6668948
2017-01-05 19:00:00,6322.7275392
2017-01-05 19:15:00,6330.3033204
2017-01-05 19:30:00,6336.3638672
2017-01-05 19:45:00,6340.9092772
2017-01-05 20:00:00,6346.9699216
2017-01-05 20:30:00,6350.0000974
2017-01-05 20:45:00,6350.0000974
2017-01-05 21:00:00,6350.0000974
2017-01-05 21:15:00,6351.5153318
2017-01-05 21:30:00,6353.0303708
2017-01-05 21:45:00,6357.575781
2017-01-05 22:00:00,6362.1211912
2017-01-05 22:15:00,6368.1818358
2017-01-05 22:30:00,6372.727246
2017-01-05 22:45:00,6375.7576172
2017-01-05 23:00:00,6377.2728516
2017-01-05 23:15:00,6378.788086
2017-01-05 23:45:00,6380.3032228
2017-01-06 00:00:00,6383.3335938
2017-01-06 00:15:00,6386.3639648
2017-01-06 00:30:00,6389.3943358
2017-01-06 00:45:00,6392.4247068
2017-01-06 01:00:00,6393.939941
2017-01-06 01:15:00,6393.939941
2017-01-06 01:30:00,6395.4549802
2017-01-06 01:45:00,6395.4549802
2017-01-06 02:00:00,6398.485156
2017-01-06 02:15:00,6400.0001952
2017-01-06 02:30:00,6401.5152344
2017-01-06 02:45:00,6401.5152344
2017-01-06 03:15:00,6403.0302736
2017-01-06 03:30:00,6401.515137
2017-01-06 03:45:00,6403.0302736
2017-01-06 04:00:00,6404.5454102
2017-01-06 04:15:00,6406.0605468
2017-01-06 04:30:00,6407.5756834
2017-01-06 04:45:00,6409.09082
2017-01-06 05:00:00,6409.09082
2017-01-06 05:15:00,6409.09082
2017-01-06 05:30:00,6409.09082
2017-01-06 05:45:00,6410.6060544
2017-01-06 06:00:00,6410.6060544
2017-01-06 06:30:00,6412.1212888
2017-01-06 06:45:00,6412.1212888
2017-01-06 07:00:00,6413.6365232
2017-01-06 07:15:00,6413.6365232
2017-01-06 07:30:00,6415.1517576
2017-01-06 07:45:00,6415.1517576
2017-01-06 08:00:00,6415.1517576
2017-01-06 08:15:00,6415.1517576
2017-01-06 08:30:00,6413.6365232
2017-01-06 08:45:00,6410.6061522
2017-01-06 09:00:00,6409.0909178
2017-01-06 09:15:00,6407.5757812
2017-01-06 09:30:00,6404.5454102
2017-01-06 10:00:00,6403.0302736
2017-01-06 10:15:00,6403.0302736
2017-01-06 10:30:00,6401.515137
2017-01-06 10:45:00,6400.0000978
2017-01-06 11:00:00,6396.9698244
2017-01-06 11:15:00,6392.4244142
2017-01-06 11:30:00,6384.8486328
2017-01-06 11:45:00,6375.7578124
2017-01-06 12:00:00,6366.6667968
2017-01-06 12:15:00,6357.5758788
2017-01-06 12:30:00,6346.9698242
2017-01-06 12:45:00,6339.3941408
2017-01-06 13:00:00,6331.8183596
2017-01-06 13:30:00,6325.7578128
2017-01-06 13:45:00,6319.6971682
2017-01-06 14:00:00,6313.6366212
2017-01-06 14:15:00,6307.5760742
2017-01-06 14:30:00,6303.030664
2017-01-06 14:45:00,6300.0003906
2017-01-06 15:00:00,6296.9702148
2017-01-06 15:15:00,6298.4853516
2017-01-06 15:30:00,6301.5155274
2017-01-06 15:45:00,6306.0609376
2017-01-06 16:00:00,6309.091211
2017-01-06 16:15:00,6313.6366212
2017-01-06 16:45:00,6321.2123048
2017-01-06 17:00:00,6328.788086
2017-01-06 17:15:00,6336.3638672
2017-01-06 17:30:00,6346.9698242
2017-01-06 17:45:00,6359.0910156
2017-01-06 18:00:00,6368.1819336
2017-01-06 18:15:00,6375.757715
2017-01-06 18:30:00,6383.3334962
2017-01-06 18:45:00,6386.3638674
2017-01-06 19:00:00,6390.9092776
2017-01-06 19:15:00,6395.4546876
2017-01-06 19:30:00,6401.515332
2017-01-06 19:45:00,6406.0607422
2017-01-06 20:15:00,6413.6364258
2017-01-06 20:30:00,6421.212207
2017-01-06 20:45:00,6425.7576172
2017-01-06 21:00:00,6430.3030274
2017-01-06 21:15:00,6434.8484376
2017-01-06 21:30:00,6439.394043
2017-01-06 21:45:00,6440.9092774
2017-01-06 22:00:00,6445.4548828
2017-01-06 22:15:00,6448.4852538
2017-01-06 22:30:00,6451.5156248
2017-01-06 22:45:00,6454.5458006
2017-01-06 23:00:00,6456.0609372
2017-01-06 23:15:00,6456.0609372
2017-01-06 23:45:00,6456.0609372
2017-01-07 00:00:00,6456.0609372
2017-01-07 00:15:00,6457.5760738
2017-01-07 00:30:00,6460.6062496
2017-01-07 00:45:00,6465.1516598
2017-01-07 01:00:00,6468.1818356
2017-01-07 01:15:00,6472.7272458
2017-01-07 01:30:00,6474.2424802
2017-01-07 01:45:00,6475.7577146
2017-01-07 02:00:00,6475.7577146
2017-01-07 02:15:00,6478.7879882
2017-01-07 02:30:00,6480.3030274
2017-01-07 03:00:00,6480.3030274
2017-01-07 03:15:00,6483.3332032
2017-01-07 03:30:00,6487.8786134
2017-01-07 06:30:00,6490.9089844
2017-01-07 06:45:00,6492.424121
2017-01-07 07:00:00,6496.9695312
2017-01-07 07:15:00,6498.4847656
2017-01-07 07:30:00,6498.4847656
2017-01-07 07:45:00,6496.9695312
2017-01-07 08:00:00,6498.4847656
2017-01-07 08:15:00,6495.4543946
2017-01-07 08:30:00,6490.9089844
2017-01-07 08:45:00,6486.3635742
2017-01-07 09:00:00,6483.3333984
2017-01-07 09:15:00,6478.7879882
2017-01-07 09:45:00,6475.7577146
2017-01-07 10:00:00,6474.2424802
2017-01-07 10:15:00,6472.7272458
2017-01-07 10:30:00,6469.6968748
2017-01-07 10:45:00,6465.1514646
2017-01-07 11:00:00,6460.6061522
2017-01-07 11:15:00,6453.030371
2017-01-07 11:30:00,6442.424414
2017-01-07 11:45:00,6431.8183592
2017-01-07 12:00:00,6421.212207
2017-01-07 12:15:00,6410.6061522
2017-01-07 12:30:00,6400.0001952
2017-01-07 12:45:00,6389.3940428
2017-01-07 13:15:00,6378.7880858
2017-01-07 13:30:00,6366.6668944
2017-01-07 13:45:00,6354.545703
2017-01-07 14:00:00,6345.4548826
2017-01-07 14:15:00,6336.3640624
2017-01-07 14:30:00,6327.2730468
2017-01-07 14:45:00,6319.6973632
2017-01-07 15:00:00,6315.1517578
2017-01-07 15:15:00,6312.1213868
2017-01-07 15:30:00,6315.1517578
2017-01-07 15:45:00,6321.2124024
2017-01-07 16:00:00,6330.3032226
2017-01-07 16:15:00,6337.8790038
2017-01-07 16:45:00,6343.9395506
2017-01-07 17:00:00,6346.9697264
2017-01-07 17:15:00,6350.0000974
2017-01-07 17:30:00,6354.5455076
2017-01-07 17:45:00,6360.6061522
2017-01-07 18:00:00,6371.212207
2017-01-07 18:15:00,6384.8486328
2017-01-07 18:30:00,6400
2017-01-07 18:45:00,6413.6364258
2017-01-07 19:00:00,6425.7576172
2017-01-07 19:15:00,6439.3939452
2017-01-07 19:30:00,6449.9999022
2017-01-07 19:45:00,6459.0909178
2017-01-07 20:15:00,6468.1817382
2017-01-07 20:30:00,6478.7876952
2017-01-07 20:45:00,6483.3331054
2017-01-07 21:00:00,6489.39375
2017-01-07 21:15:00,6495.4543946
2017-01-07 21:30:00,6500
2017-01-07 21:45:00,6503.0304688
2017-01-07 22:00:00,6506.0609376
2017-01-07 22:15:00,6509.0913086
2017-01-07 22:30:00,6510.6064452
2017-01-07 22:45:00,6513.636621
2017-01-07 23:00:00,6518.1820312
2017-01-07 23:30:00,6521.212207
2017-01-07 23:45:00,6524.2424806
2017-01-08 00:00:00,6528.7878908
2017-01-08 00:15:00,6530.3031252
2017-01-08 00:30:00,6531.8182618
2017-01-08 00:45:00,6534.8486328
2017-01-08 01:00:00,6536.3637694
2017-01-08 01:15:00,6536.3637694
2017-01-08 01:30:00,6537.878906
2017-01-08 01:45:00,6540.9090818
2017-01-08 02:00:00,6542.424121
2017-01-08 02:15:00,6542.424121
2017-01-08 02:30:00,6543.9391602
2017-01-08 03:00:00,6546.969336
2017-01-08 03:15:00,6546.969336
2017-01-08 03:30:00,6548.4844726
2017-01-08 03:45:00,6551.5146484
2017-01-08 04:00:00,6554.5450194
2017-01-08 04:15:00,6556.0602538
2017-01-08 04:30:00,6557.5754882
