date;T1A1;T1A2;T1A3;T1A4
2021-06-17 21:11:38;2727.272949;3227.272949;545.455017;17409.08984
2021-06-17 21:27:44;2734.849121;3227.272949;560.606018;17416.66602
2021-06-17 21:43:49;2742.424072;3234.849121;568.182007;17416.66602
2021-06-17 21:59:56;2750;3234.849121;583.333008;17424.24219
2021-06-17 22:16:03;2757.575928;3234.849121;590.908997;17431.81836
2021-06-17 22:32:08;2765.150879;3242.424072;590.908997;17439.39453
2021-06-17 22:48:15;2765.150879;3234.849121;590.908997;17439.39453
2021-06-17 23:04:23;2765.150879;3234.849121;590.908997;17446.96875
2021-06-17 23:20:29;2780.302979;3242.424072;606.060974;17446.96875
2021-06-17 23:36:37;2787.878906;3234.849121;606.060974;17446.96875
2021-06-17 23:52:43;2795.455078;3234.849121;613.635986;17454.54492
2021-06-18 00:08:51;2795.455078;3234.849121;613.635986;17454.54492
2021-06-18 00:24:57;2803.030029;3242.424072;621.211975;17462.12109
2021-06-18 00:41:05;2803.030029;3242.424072;621.211975;17469.69727
2021-06-18 00:57:11;2803.030029;3234.849121;621.211975;17469.69727
2021-06-18 01:13:18;2803.030029;3234.849121;628.788025;17469.69727
2021-06-18 01:29:24;2810.605957;3242.424072;628.788025;17477.27148
2021-06-18 01:45:31;2810.605957;3234.849121;628.788025;17477.27148
2021-06-18 02:01:36;2818.181885;3242.424072;628.788025;17477.27148
2021-06-18 02:17:46;2825.758057;3242.424072;628.788025;17477.27148
2021-06-18 02:33:52;2818.181885;3242.424072;628.788025;17477.27148
2021-06-18 02:49:59;2825.758057;3242.424072;636.364014;17484.84766
2021-06-18 03:06:06;2825.758057;3242.424072;643.939026;17484.84766
2021-06-18 03:22:16;2825.758057;3250;636.364014;17484.84766
2021-06-18 03:38:22;2825.758057;3242.424072;636.364014;17484.84766
2021-06-18 03:54:29;2833.333984;3242.424072;643.939026;17492.42383
2021-06-18 04:10:36;2825.758057;3250;643.939026;17492.42383
2021-06-18 04:26:46;2833.333984;3242.424072;643.939026;17492.42383
2021-06-18 04:42:53;2833.333984;3242.424072;643.939026;17492.42383
2021-06-18 04:59:00;2833.333984;3242.424072;643.939026;17500
2021-06-18 05:15:07;2833.333984;3242.424072;643.939026;17492.42383
2021-06-18 05:31:17;2833.333984;3242.424072;643.939026;17507.57617
2021-06-18 05:47:24;2840.908936;3250;643.939026;17500
2021-06-18 06:03:31;2840.908936;3250;659.091003;17500
2021-06-18 06:19:38;2840.908936;3242.424072;659.091003;17507.57617
2021-06-18 06:35:48;2840.908936;3250;659.091003;17507.57617
2021-06-18 06:51:54;2840.908936;3250;659.091003;17515.15039
2021-06-18 07:08:02;2840.908936;3250;666.666992;17507.57617
2021-06-18 07:24:09;2840.908936;3250;659.091003;17515.15039
2021-06-18 07:40:17;2848.485107;3250;659.091003;17515.15039
