"datetime";"T1A2";"T1A3";"T1A4";"T1B2";"T1B3";"T1B4";"T1B5";"T1C2";"T1C4";"T2A1";"T2A2";"T2A3";"T2A4";"T2B2";"T2B3";"T2B4";"T2C1";"T2C2";"T2C3";"T2C4";"T3A2";"T3A3";"T3A5";"T3B1";"T3B2";"T3B3";"T3B4";"T3C1";"T3C3";"T3C4";"T3C5";"phase"
"27";2021-06-01 21:00:00;3704.544922;2378.788086;17500;2356.061035;5719.698242;2765.150879;30.302999;75.758003;6022.727051;1227.272949;484.847992;3015.150879;4909.091797;-1.81898940354586e-12;0;0;6719.698242;636.364014;8530.302734;60.605999;0;968.182007;0;2150;7515.151855;2004.546021;1595.454956;24984.84766;3045.455078;11500;9212.121094;"Increment"
"28";2021-06-01 21:15:00;3704.544922;2386.364014;17507.57617;2356.061035;5719.698242;2765.150879;30.302999;75.758003;6030.303223;1234.848999;500;3015.150879;4916.666992;-4.54747350886464e-13;0;0;6719.698242;643.939026;8530.302734;60.605999;0;968.182007;0;2150;7515.151855;2013.636963;1600;24977.27344;3045.455078;11507.57617;9212.121094;"Increment"
"29";2021-06-01 21:30:00;3704.544922;2386.364014;17500;2356.061035;5719.698242;2765.150879;30.302999;75.758003;6037.878906;1242.42395;507.575989;3015.150879;4924.243164;-4.54747350886464e-13;0;0;6727.272949;643.939026;8545.455078;60.605999;0;968.182007;0;2159.091064;7530.303223;2013.636963;1609.090942;24977.27344;3053.030029;11507.57617;9219.697266;"Increment"
"30";2021-06-01 21:45:00;3712.121094;2386.364014;17507.57617;2356.061035;5719.698242;2765.150879;30.302999;75.758003;6045.455078;1250;515.151978;3015.150879;4931.818848;-4.54747350886464e-13;0;0;6727.272949;643.939026;8545.455078;60.605999;0;972.727905;0;2159.091064;7545.455078;2018.182007;1609.090942;24977.27344;3060.605957;11522.72754;9227.272461;"Increment"
"31";2021-06-01 22:00:00;3712.121094;2393.939941;17507.57617;2356.061035;5719.698242;2765.150879;30.302999;68.181999;6053.030762;1250;515.151978;3022.727051;4931.818848;-4.54747350886464e-13;0;0;6734.849121;651.515015;8553.030273;60.605999;0;995.454956;0;2168.181885;7553.030762;2018.182007;1609.090942;24977.27344;3068.181885;11530.30273;9219.697266;"Increment"
"32";2021-06-01 22:15:00;3712.121094;2401.514893;17507.57617;2363.635986;5719.698242;2772.727051;30.302999;75.758003;6060.606934;1265.151978;530.302979;3015.150879;4931.818848;-4.54747350886464e-13;0;0;6734.849121;659.091003;8568.181641;60.605999;0;1027.272949;0;2168.181885;7553.030762;2027.272949;1609.090942;24977.27344;3075.758057;11537.87891;9227.272461;"Increment"
"33";2021-06-01 22:30:00;3719.697021;2401.514893;17507.57617;2363.635986;5719.698242;2765.150879;30.302999;68.181999;6060.606934;1265.151978;530.302979;3015.150879;4939.394043;-4.54747350886464e-13;0;9.09494701772928e-13;6734.849121;659.091003;8568.181641;60.605999;0;1054.545898;0;2172.727051;7568.182129;2036.364014;1618.182007;24962.12109;3075.758057;11537.87891;9227.272461;"Increment"
"34";2021-06-01 22:45:00;3729.10078849712;2399.79502219859;17505.0322234671;2362.95771409556;5719.68633669893;2760.91292212521;30.3029989999999;69.4279640476208;6063.99133100147;1272.20235656012;535.437056474963;3016.46208265161;4949.30460514613;0.548530101295455;0.00362684383435408;-9.09494701772928e-13;6744.79848867908;656.71276445266;8571.6246173095;60.6060552594976;-9.7758982779606e-248;1133.29942649155;-8.00839511387617e-268;2173.87124342049;7572.02625139315;2037.89661977077;1620.34837881273;24965.9014639766;3075.22358643514;11541.2738432184;9224.76221840929;"Increment"
"35";2021-06-01 23:00:00;3734.849121;2401.514893;17507.57617;2363.635986;5719.698242;2765.150879;30.302999;75.758003;6068.182129;1280.302979;545.455017;3015.150879;4954.545898;-4.54747350886464e-13;0;0;6750.000977;659.091003;8575.757813;60.605999;0;1063.636963;0;2172.727051;7568.182129;2036.364014;1618.182007;24977.27344;3075.758057;11545.45508;9227.272461;"Increment"
"36";2021-06-01 23:15:00;3734.849121;2409.091064;17515.15039;2363.635986;5719.698242;2772.727051;30.302999;75.758003;6068.182129;1280.302979;553.030029;3015.150879;4954.545898;-4.54747350886464e-13;0;0;6742.424805;666.666992;8575.757813;60.605999;0;1077.272949;0;2172.727051;7568.182129;2036.364014;1618.182007;24977.27344;3075.758057;11545.45508;9234.848633;"Increment"
